evidence_layer,data_role,arm,seed,n_images,PFFD10_train_scaled,FID_InceptionV3_Mixed6e_768,KID_InceptionV3_Mixed6e_768,radial_log_power_l1_mean,laplacian_variance_absolute_difference_mean,centroid_distance_to_inherited_bbox_center_mean,bright_bbox_width_absolute_error_mean,bright_bbox_height_absolute_error_mean,memorization_screen_flag_count,memorization_screen_flag_rate,exact_train_or_flip_count,feature_min_mean,nearest_reference_ssim_max,phash_minimum,source_array_sha256,test_payload_accessed
N2_NEW_STUDY,validation,NF,61001,1024,10.37034695316606,0.7034115413253961,0.0014894160285736646,0.6970826877317935,0.004616034760602501,0.09678150132419244,0.06193745930989583,0.0732257080078125,0,0.0,0,0.02750555488126029,0.9904627284914361,0,b403820719db9285b88e78705e224691a53c668224f7f69e8d0f5a0ad4e078c0,False
N2_NEW_STUDY,validation,NF,61002,1024,6.5886502630081125,0.6556691274987834,0.0013815184294907468,0.6234825290746882,0.004437697160561518,0.09888143205690103,0.059867146809895834,0.10342122395833334,0,0.0,0,0.03214291319049976,0.9869798156615528,0,afdcd84467071111a393e8b4c36f0a4fab41c85969116e23ad702fe05f25cf31,False
N2_NEW_STUDY,validation,NF,61003,1024,3.9201676061053288,0.5427452099972274,0.0010947295562981907,0.45988490301754853,0.004134187872916523,0.07314328065383778,0.0547894287109375,0.07034220377604167,0,0.0,0,0.0295192461074317,0.9956708618314598,0,ebd3bde473129b4f7ff7f4dc32dc345b59cb0ced656f22cca97983e752d9f09b,False
N2_NEW_STUDY,validation,NF,61004,1024,3.2390262297944084,0.5781902012753688,0.0012220797384512316,0.410586574719914,0.003971487379628235,0.0740973493841873,0.05266927083333334,0.1018182373046875,0,0.0,0,0.03447621400794147,0.9854408523132061,0,d602f5c3f5dea1fc68465085bb4a2ec77a1e193a80f42d275c6bd5387f027570,False
N2_NEW_STUDY,validation,NF,61005,1024,3.599215421801201,0.6530695563969338,0.0013816874997210071,0.5146070073331576,0.004214575587002355,0.07544609169260469,0.05844828287760416,0.09736857096354168,0,0.0,0,0.03541674862450338,0.9856143043100764,0,0409142f49080ccb033e988ddd375dd860a999a91a4024e308c10de36589d27d,False
N2_NEW_STUDY,validation,NF,61006,1024,9.684150809731749,0.7170117656034649,0.0015152130577327227,0.6970938833574281,0.004470590486659202,0.09669795576066391,0.0625433349609375,0.07334330240885417,0,0.0,0,0.03149744681273928,0.9861642753397526,0,50837ce5c6412d40d4522dbadd4f2ef407ae17a93e3008cb097dcb86cd8611c0,False
N2_NEW_STUDY,validation,NF,61007,1024,6.226598139172095,0.6670827669026955,0.0014991485965594187,0.5722522418024498,0.00434128652504004,0.09965469203914434,0.060373942057291664,0.1457794189453125,0,0.0,0,0.031806838193617376,0.9889129415845475,0,c623ef118695831da51d91992c58dcba6ac696d0c9b105cb6cd44c74bedae40d,False
N2_NEW_STUDY,validation,NF,61008,1024,3.4421342181451724,0.5472623193984643,0.0011728964489892135,0.49518056908268687,0.004062919913759252,0.07603492844459389,0.055321044921875,0.08229329427083334,0,0.0,0,0.021798823462878092,0.9905748804244927,0,e82bcba393d51d26a54e1bc23ebcbc497167a8195dd7d124543ccf226df95c8e,False
N2_NEW_STUDY,validation,NF,61009,1024,10.102220064235,0.6883550103645888,0.0014115755776327177,0.6876524121456182,0.004489422724562562,0.10256494644729852,0.06370564778645833,0.072890625,0,0.0,0,0.03177186922960717,0.9834249126996212,0,bd0c0f5d30a0451054b0917bb24cfcfdb51c3b8d30db6acf82252b6b755a2740,False
N2_NEW_STUDY,validation,NF,61010,1024,3.946736210512057,0.5746989317815102,0.0011868526794600598,0.5379286633150115,0.004229046873650193,0.07624425370839112,0.06001708984375,0.08118998209635417,0,0.0,0,0.022855531095742673,0.9899060350536024,0,a58c913f862b9484e26850311b982f6dbe7aec9cdabff9c0949c5cbdc9e191bc,False
