COCO_AP,COCO_AP50,COCO_AP75,COCO_AP_large,COCO_AP_medium,COCO_AP_small,COCO_AR100,COCO_images,elapsed_seconds,gradient_norm_before_clip,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,loss_total,row_type,update
,,,,,,,,0.10758209999767132,1.0608712434768677,0.030341684818267822,0.009826203808188438,0.005737516097724438,0.007478154264390469,0.053383562713861465,training,78
,,,,,,,,0.16008839997812174,1.2297405004501343,0.04565732553601265,0.013831598684191704,0.004837788641452789,0.012076100334525108,0.07640281319618225,training,79
,,,,,,,,0.1468968999979552,1.624526858329773,0.05764348432421684,0.02710038423538208,0.005930622573941946,0.01715858280658722,0.10783307999372482,training,80
,,,,,,,,0.14127010002266616,2.0290310382843018,0.04607493430376053,0.016323888674378395,0.009722581133246422,0.02797127515077591,0.10009267926216125,training,81
,,,,,,,,0.14212360000237823,1.383553147315979,0.03820075839757919,0.008369147777557373,0.006579281762242317,0.019011395052075386,0.07216057926416397,training,82
,,,,,,,,0.1473441999987699,1.4479999542236328,0.03564944118261337,0.019176848232746124,0.005034752190113068,0.009813342243432999,0.06967438757419586,training,83
,,,,,,,,0.14509919998818077,1.0067437887191772,0.05565604567527771,0.02458348497748375,0.0023304172791540623,0.006048236042261124,0.0886181890964508,training,84
,,,,,,,,0.14708530000643805,1.6849623918533325,0.061265334486961365,0.027391117066144943,0.0050740912556648254,0.02058251202106476,0.11431305855512619,training,85
,,,,,,,,0.14332980001927353,3.703104019165039,0.03724285960197449,0.015447579324245453,0.01706077717244625,0.11635094881057739,0.18610216677188873,training,86
,,,,,,,,0.14825619998737238,1.7680671215057373,0.03218299150466919,0.010322663933038712,0.006952807307243347,0.02312411367893219,0.07258257269859314,training,87
